ruta_relativa;nombre;ext;categoria;proyecto;bytes;modificado
00_CONTROL\.ig-profile\BrowserMetrics-spare.pma;BrowserMetrics-spare.pma;.pma;otro;00_CONTROL;4194304;2026-09-05 11:31
00_CONTROL\.ig-profile\CertificateRevocation\10758\LICENSE;LICENSE;;otro;00_CONTROL;1558;2026-09-05 02:06
00_CONTROL\.ig-profile\CertificateRevocation\10758\_metadata\verified_contents.json;verified_contents.json;.json;codigo;00_CONTROL;1512;2026-09-05 02:06
00_CONTROL\.ig-profile\CertificateRevocation\10758\crl-set;crl-set;;otro;00_CONTROL;1438627;2026-09-05 02:06
00_CONTROL\.ig-profile\CertificateRevocation\10758\manifest.json;manifest.json;.json;codigo;00_CONTROL;95;2026-09-05 02:06
00_CONTROL\.ig-profile\CrashpadMetrics-active.pma;CrashpadMetrics-active.pma;.pma;otro;00_CONTROL;1048576;2026-09-05 11:30
00_CONTROL\.ig-profile\Crashpad\metadata;metadata;;otro;00_CONTROL;0;2026-09-04 22:43
00_CONTROL\.ig-profile\Crashpad\settings.dat;settings.dat;.dat;otro;00_CONTROL;40;2026-09-05 14:33
00_CONTROL\.ig-profile\Crowd Deny\2026.8.27.61\Preload Data;Preload Data;;otro;00_CONTROL;292469;2026-08-26 20:04
00_CONTROL\.ig-profile\Crowd Deny\2026.8.27.61\_metadata\verified_contents.json;verified_contents.json;.json;codigo;00_CONTROL;1766;2026-08-26 20:04
00_CONTROL\.ig-profile\Crowd Deny\2026.8.27.61\manifest.json;manifest.json;.json;codigo;00_CONTROL;108;2026-08-26 20:04
00_CONTROL\.ig-profile\Default\Account Web Data;Account Web Data;;otro;00_CONTROL;77824;2026-09-05 11:14
00_CONTROL\.ig-profile\Default\Account Web Data-journal;Account Web Data-journal;;otro;00_CONTROL;0;2026-09-05 11:14
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\000003.log;000003.log;.log;otro;00_CONTROL;0;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\CURRENT;CURRENT;;otro;00_CONTROL;16;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\LOCK;LOCK;;otro;00_CONTROL;0;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\LOG;LOG;;otro;00_CONTROL;452;2026-09-05 11:30
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\LOG.old;LOG.old;.old;otro;00_CONTROL;452;2026-09-05 11:14
00_CONTROL\.ig-profile\Default\AdBlock Custom Resources\MANIFEST-000001;MANIFEST-000001;;otro;00_CONTROL;41;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\Affiliation Database;Affiliation Database;;otro;00_CONTROL;53248;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\Affiliation Database-journal;Affiliation Database-journal;;otro;00_CONTROL;0;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\AutofillStrikeDatabase\LOCK;LOCK;;otro;00_CONTROL;0;2026-09-04 22:43
00_CONTROL\.ig-profile\Default\AutofillStrikeDatabase\LOG;LOG;;otro;00_CONTROL;0;2026-09-05 11:30
00_CONTROL\.ig-profile\Default\AutofillStrikeDatabase\LOG.old;LOG.old;.old;otro;00_CONTROL;0;2026-09-05 11:14
00_CONTROL\.ig-profile\Default\BookmarkMergedSurfaceOrdering;BookmarkMergedSurfaceOrdering;;otro;00_CONTROL;6;2026-09-05 11:30
