archivo,ruta,tipo,tamaño_bytes,fecha_mod,proyecto,persona,categoria_A_F,sensibilidad
PROMPT_01_MISION_PRINCIPAL.md,00_CONTROL/01_PROMPTS_Y_CONTEXTO/PROMPT_01_MISION_PRINCIPAL.md,Markdown,3738,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
PROMPT_02_EJECUCION_ECOSISTEMA_MARC.md,00_CONTROL/01_PROMPTS_Y_CONTEXTO/PROMPT_02_EJECUCION_ECOSISTEMA_MARC.md,Markdown,1735,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
PROMPT_03_AUDITORIA_TOTAL.md,00_CONTROL/01_PROMPTS_Y_CONTEXTO/PROMPT_03_AUDITORIA_TOTAL.md,Markdown,2187,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
PROMPT_04_OPERADOR_AUTONOMO.md,00_CONTROL/01_PROMPTS_Y_CONTEXTO/PROMPT_04_OPERADOR_AUTONOMO.md,Markdown,1926,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
PROMPT_05_CONTEXTO_TRANSFERENCIA.md,00_CONTROL/01_PROMPTS_Y_CONTEXTO/PROMPT_05_CONTEXTO_TRANSFERENCIA.md,Markdown,5026,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
ACCESS_MAP.md,00_CONTROL/ACCESS_MAP.md,Markdown,3274,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
ASSET_MAP.md,00_CONTROL/ASSET_MAP.md,Markdown,2612,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
BUSINESS_MAP.md,00_CONTROL/BUSINESS_MAP.md,Markdown,5414,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
CENTRO_DE_CONTROL.md,00_CONTROL/CENTRO_DE_CONTROL.md,Markdown,2962,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
CHANGELOG.md,00_CONTROL/CHANGELOG.md,Markdown,2624,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
CHANNEL_MAP.md,00_CONTROL/CHANNEL_MAP.md,Markdown,2682,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
CONTEXTO_MAESTRO_AURORA.md,00_CONTROL/CONTEXTO_MAESTRO_AURORA.md,Markdown,4071,2026-08-18,INFRA,Aurora,D,BAJA
CONTEXTO_MAESTRO_MARC.md,00_CONTROL/CONTEXTO_MAESTRO_MARC.md,Markdown,6760,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
DECISIONS.md,00_CONTROL/DECISIONS.md,Markdown,3948,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
INFORME_AUDITORIA_INICIAL.md,00_CONTROL/INFORME_AUDITORIA_INICIAL.md,Markdown,3978,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
INVENTARIO_COMPLETO.csv,00_CONTROL/INVENTARIO_COMPLETO.csv,CSV,67005,2026-08-18,INFRA,Sebastián/Compartido,E,BAJA
INVENTARIO_MAESTRO.md,00_CONTROL/INVENTARIO_MAESTRO.md,Markdown,15678,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
KPI_FRAMEWORK.md,00_CONTROL/KPI_FRAMEWORK.md,Markdown,2721,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
MAPA_GENERAL.md,00_CONTROL/MAPA_GENERAL.md,Markdown,7628,2026-08-18,INFRA,Sebastián/Compartido,D,BAJA
