NUM,FECHA,PERSONA,TEMA,ARCHIVO,UBICACION_ORIGINAL,EXT,TAM_KB
001,2026-05-04,MARC,General,Doc1_Informe_Sesion_Marc_04-05-26.pdf,MARC\1 DÍA 04-05-2026\Doc1_Informe_Sesion_Marc_04-05-26.pdf,.pdf,95.9
002,2026-05-04,MARC,General,Doc2_Plan_Operativo_Marc_04-05-26.pdf,MARC\1 DÍA 04-05-2026\Doc2_Plan_Operativo_Marc_04-05-26.pdf,.pdf,183.9
003,2026-05-04,MARC,Escala/Reuniones,Doc3_Contexto_Escala_Marc_04-05-26.pdf,MARC\1 DÍA 04-05-2026\Doc3_Contexto_Escala_Marc_04-05-26.pdf,.pdf,132.0
004,2026-08-04,MARC,General,INFORME_SESION INICIAL_04-08-2026-1.pdf,MARC\02_Informes_Sesiones\INFORME_SESION INICIAL_04-08-2026-1.pdf,.pdf,95.9
005,2026-08-04,MARC,General,INFORME_SESION INICIAL_04-08-2026.pdf,MARC\02_Informes_Sesiones\INFORME_SESION INICIAL_04-08-2026.pdf,.pdf,95.9
006,2026-08-04,MARC,Chat/Audios,PTT-20260804-WA0123.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260804-WA0123.txt,.txt,0.7
007,2026-08-04,MARC,Chat/Audios,PTT-20260804-WA0124.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260804-WA0124.txt,.txt,2.0
008,2026-08-04,MARC,Chat/Audios,PTT-20260804-WA0125.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260804-WA0125.txt,.txt,4.7
009,2026-08-04,MARC,Chat/Audios,PTT-20260804-WA0126.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260804-WA0126.txt,.txt,1.4
010,2026-08-04,MARC,Chat/Audios,PTT-20260804-WA0133.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260804-WA0133.txt,.txt,2.7
011,2026-08-05 (mtime),MARC,General,Doc1_Informe_Sesion_Marc(1).md,MARC\02_Informes_Sesiones\Doc1_Informe_Sesion_Marc(1).md,.md,8.3
012,2026-08-05 (mtime),MARC,General,Doc1_Informe_Sesion_Marc.md,MARC\02_Informes_Sesiones\Doc1_Informe_Sesion_Marc.md,.md,7.3
013,2026-08-05 (mtime),MARC,General,Doc1_Informe_Sesion_Marc.pdf,MARC\02_Informes_Sesiones\Doc1_Informe_Sesion_Marc.pdf,.pdf,16.9
014,2026-08-05 (mtime),MARC,Sistema MASTER,Doc2_Plan_Operativo_Marc.md,MARC\01_Contexto_Alineacion\Doc2_Plan_Operativo_Marc.md,.md,11.9
015,2026-08-05 (mtime),MARC,Escala/Reuniones,Doc3_Contexto_Escala_Marc.md,MARC\01_Contexto_Alineacion\Doc3_Contexto_Escala_Marc.md,.md,7.2
016,2026-08-05 (mtime),MARC,Escala/Reuniones,Doc3_Contexto_Escala_Marc.pdf,MARC\01_Contexto_Alineacion\Doc3_Contexto_Escala_Marc.pdf,.pdf,132.0
017,2026-08-05 (mtime),MARC,Sistema MASTER,Plan_Marc_Operativo_Final(1).md,MARC\01_Contexto_Alineacion\Plan_Marc_Operativo_Final(1).md,.md,5.3
018,2026-08-05 (mtime),MARC,Sistema MASTER,Plan_Marc_Operativo_Final.md,MARC\01_Contexto_Alineacion\Plan_Marc_Operativo_Final.md,.md,0.0
019,2026-08-05,MARC,Chat/Audios,PTT-20260805-WA0005.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260805-WA0005.txt,.txt,1.6
020,2026-08-07,MARC,Chat/Audios,PTT-20260807-WA0000.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260807-WA0000.txt,.txt,1.3
021,2026-08-07,MARC,Chat/Audios,PTT-20260807-WA0004.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260807-WA0004.txt,.txt,1.2
022,2026-08-07,MARC,Chat/Audios,PTT-20260807-WA0081.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260807-WA0081.txt,.txt,0.6
023,2026-08-10,MARC,Chat/Audios,PTT-20260810-WA0060.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260810-WA0060.txt,.txt,0.1
024,2026-08-10,MARC,Chat/Audios,PTT-20260810-WA0081.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260810-WA0081.txt,.txt,1.0
025,2026-08-10,MARC,Chat/Audios,PTT-20260810-WA0082.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260810-WA0082.txt,.txt,0.1
026,2026-08-10,MARC,Chat/Audios,PTT-20260810-WA0083.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260810-WA0083.txt,.txt,0.2
027,2026-08-12,MARC,Chat/Audios,DOC-20260812-WA0062.docx,MARC\Chat de WhatsApp con MARC\DOC-20260812-WA0062.docx,.docx,52.5
028,2026-08-12,MARC,Chat/Audios,DOC-20260812-WA0062.docx,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\DOC-20260812-WA0062.docx,.docx,52.5
029,2026-08-12,MARC,Chat/Audios,DOC-20260812-WA0125.docx,MARC\Chat de WhatsApp con MARC\DOC-20260812-WA0125.docx,.docx,49.4
030,2026-08-12,MARC,Chat/Audios,DOC-20260812-WA0125.docx,MARC\Chat de WhatsApp con MARC (ÚLTIMO EL MÁS RECIENTE)\Chat de WhatsApp con Marc Souza Gil\DOC-20260812-WA0125.docx,.docx,49.4
031,2026-08-13 (mtime),MARC,Sistema MASTER,Documento_Alineacion_MARC_Sebastian.pdf,MARC\01_Contexto_Alineacion\Documento_Alineacion_MARC_Sebastian.pdf,.pdf,156.9
032,2026-08-13 (mtime),MARC,Sistema MASTER,Marc.pdf,MARC\01_Contexto_Alineacion\Marc.pdf,.pdf,1197.3
033,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0077.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0077.txt,.txt,0.2
034,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0111.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0111.txt,.txt,0.5
035,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0112.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0112.txt,.txt,0.2
036,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0114.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0114.txt,.txt,0.2
037,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0115.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0115.txt,.txt,0.2
038,2026-08-14,MARC,Chat/Audios,PTT-20260814-WA0116.txt,MARC\Chat de WhatsApp con MARC\transcripts\PTT-20260814-WA0116.txt,.txt,0.4
