"n","nombre","ruta","extension","tamano_bytes","fecha_creacion","fecha_modificacion","cliente","categoria","subcategoria","estado_lectura","relevancia","duplicado","documentos_relacionados","observaciones"
"1","00_MAPA_MAESTRO_MARC_AURORA.md","00_MAPA_MAESTRO_MARC_AURORA.md",".md","2554","15/08/2026 19:01","15/08/2026 19:01","COMPARTIDO","19_ESTRATEGIA","Mapa maestro compartido","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Punto de partida de la auditoría previa"
"2",".mcp.json","MARC\.mcp.json",".json","1042","16/08/2026 03:43","16/08/2026 03:47","MARC","22_CREDENCIALES_REFERENCIAS","Configuración MCP (herramienta)","SÍ — leído; SIN secretos","BAJA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Escaneo de credenciales: limpio"
"3","05_MAPA_DEL_EMBUDO_MARC.md","MARC\05_MAPA_DEL_EMBUDO_MARC.md",".md","1142","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"4","06_MAPA_DE_AUTOMATIZACIONES_MARC.md","MARC\06_MAPA_DE_AUTOMATIZACIONES_MARC.md",".md","677","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"5","07_AUDITORIA_DE_HERRAMIENTAS_MARC.md","MARC\07_AUDITORIA_DE_HERRAMIENTAS_MARC.md",".md","642","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"6","08_AUDITORIA_FINANCIERA_MARC.md","MARC\08_AUDITORIA_FINANCIERA_MARC.md",".md","655","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"7","09_AUDITORIA_CONTRACTUAL_MARC.md","MARC\09_AUDITORIA_CONTRACTUAL_MARC.md",".md","576","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"8","10_KPI_Y_METRICAS_MARC.md","MARC\10_KPI_Y_METRICAS_MARC.md",".md","534","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"9","11_RIESGOS_MARC.md","MARC\11_RIESGOS_MARC.md",".md","630","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"10","12_OPORTUNIDADES_MARC.md","MARC\12_OPORTUNIDADES_MARC.md",".md","644","15/08/2026 18:59","15/08/2026 18:59","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"11","13_PREGUNTAS_PARA_MARC.md","MARC\13_PREGUNTAS_PARA_MARC.md",".md","924","15/08/2026 18:59","15/08/2026 19:01","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"12","14_PLAN_30_60_90_MARC.md","MARC\14_PLAN_30_60_90_MARC.md",".md","723","15/08/2026 18:59","15/08/2026 19:01","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"13","15_REUNION_BRIEF_MARC.md","MARC\15_REUNION_BRIEF_MARC.md",".md","619","15/08/2026 18:59","15/08/2026 19:01","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"14","16_DOCUMENTO_ALINEACION_MARC.md","MARC\16_DOCUMENTO_ALINEACION_MARC.md",".md","586","15/08/2026 19:00","15/08/2026 19:01","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"15","17_FUENTES_MARC.md","MARC\17_FUENTES_MARC.md",".md","1728","15/08/2026 19:00","15/08/2026 19:01","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"16","MARC_1_MINUTO.md","MARC\MARC_1_MINUTO.md",".md","675","15/08/2026 18:48","15/08/2026 18:48","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"17","MARC_DOCUMENTO_ALINEACION.md","MARC\MARC_DOCUMENTO_ALINEACION.md",".md","1783","15/08/2026 18:48","15/08/2026 18:48","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"18","MARC_REUNION_BRIEF.md","MARC\MARC_REUNION_BRIEF.md",".md","4406","15/08/2026 18:48","15/08/2026 18:48","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"19","TEST-TOKENROUTER.md","MARC\TEST-TOKENROUTER.md",".md","1654","16/08/2026 03:15","16/08/2026 03:15","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"20","TOKENROUTER-VSCODE-SETUP-REPORT.md","MARC\TOKENROUTER-VSCODE-SETUP-REPORT.md",".md","4065","16/08/2026 03:11","16/08/2026 03:12","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"21","marc-data.db","MARC\.mcp-sqlite\marc-data.db",".db","0","16/08/2026 03:49","16/08/2026 03:49","MARC","22_CREDENCIALES_REFERENCIAS","Base de datos local (SQLite)","NO LEÍDO (binario)","BAJA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Base de datos de herramienta local"
"22","00_RESUMEN_EJECUTIVO_MARC.md","MARC\00_AUDITORIA_MAESTRA\00_RESUMEN_EJECUTIVO_MARC.md",".md","2144","15/08/2026 18:47","15/08/2026 18:47","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"23","01_AUDITORIA_COMPLETA_MARC.md","MARC\00_AUDITORIA_MAESTRA\01_AUDITORIA_COMPLETA_MARC.md",".md","3080","15/08/2026 18:47","15/08/2026 18:47","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"24","02_INVENTARIO_MARC.md","MARC\00_AUDITORIA_MAESTRA\02_INVENTARIO_MARC.md",".md","1876","15/08/2026 18:47","15/08/2026 18:47","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"25","03_MAPA_DEL_NEGOCIO_MARC.md","MARC\00_AUDITORIA_MAESTRA\03_MAPA_DEL_NEGOCIO_MARC.md",".md","3040","15/08/2026 18:47","15/08/2026 18:47","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"26","04_MAPA_DE_MARKETING_MARC.md","MARC\00_AUDITORIA_MAESTRA\04_MAPA_DE_MARKETING_MARC.md",".md","1161","15/08/2026 18:47","15/08/2026 18:47","MARC","25_PENDIENTE_DE_REVISIÓN","","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"27","Doc1_Informe_Sesion_Marc_04-05-26.pdf","MARC\1 DÍA 04-05-2026\Doc1_Informe_Sesion_Marc_04-05-26.pdf",".pdf","98182","05/08/2026 02:12","05/08/2026 02:12","MARC","03_INFORMES","Informe sesión #1 (04/08)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Duplicado exacto en carpeta de chat (ver 13_DUPLICADOS.md)"
"28","Doc2_Plan_Operativo_Marc_04-05-26.pdf","MARC\1 DÍA 04-05-2026\Doc2_Plan_Operativo_Marc_04-05-26.pdf",".pdf","188291","05/08/2026 02:19","05/08/2026 02:19","MARC","04_PLANES","Plan operativo completo","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Duplicado exacto en carpeta de chat (ver 13_DUPLICADOS.md)"
"29","Doc3_Contexto_Escala_Marc_04-05-26.pdf","MARC\1 DÍA 04-05-2026\Doc3_Contexto_Escala_Marc_04-05-26.pdf",".pdf","135130","05/08/2026 02:25","05/08/2026 02:22","MARC","19_ESTRATEGIA","Inteligencia sobre Escala con Ads","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","Duplicado exacto en chat; solo difiere el nombre de archivo"
"30","5.0 IE6 - Contrato de prestación de servicios y garantía de resultados.pdf","MARC\Chat de WhatsApp con MARC\5.0 IE6 - Contrato de prestación de servicios y garantía de resultados.pdf",".pdf","132692","15/08/2026 18:10","15/08/2026 18:12","MARC","01_CONTRATOS","Contrato Escala 5.0 IE6 (campos en blanco = NO FIRMADO)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"31","CVREDES.pdf","MARC\Chat de WhatsApp con MARC\CVREDES.pdf",".pdf","437762","15/08/2026 18:10","15/08/2026 18:12","MARC","02_PROPUESTAS","CV de Sebastián para el puesto","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"32","Chat de WhatsApp con MARC.txt","MARC\Chat de WhatsApp con MARC\Chat de WhatsApp con MARC.txt",".txt","76799","15/08/2026 18:10","15/08/2026 18:12","MARC","09_WHATSAPP","Export completo del chat (639 líneas)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
"33","DOC-20260812-WA0062.docx","MARC\Chat de WhatsApp con MARC\DOC-20260812-WA0062.docx",".docx","53716","15/08/2026 18:10","15/08/2026 18:12","MARC","02_PROPUESTAS","Análisis estratégico de la colaboración (400 €)","SÍ — texto leído","ALTA","—","Ver 01_INDICE_DOCUMENTAL_GLOBAL.md","—"
